Date,Open,High,Low,Close
Wed Jan 08 2025 14:15:00 GMT+0530 (India Standard Time),1749.65,1757.0,1749.05,1755.85
Wed Jan 08 2025 14:20:00 GMT+0530 (India Standard Time),1755.85,1763.65,1755.2,1761.85
Wed Jan 08 2025 14:25:00 GMT+0530 (India Standard Time),1761.85,1762.5,1752.15,1752.15
Wed Jan 08 2025 14:30:00 GMT+0530 (India Standard Time),1752.15,1753.4,1750.05,1751.85
Wed Jan 08 2025 14:35:00 GMT+0530 (India Standard Time),1751.65,1751.65,1747.0,1749.05
Wed Jan 08 2025 14:40:00 GMT+0530 (India Standard Time),1749.85,1752.5,1748.85,1751.25
Wed Jan 08 2025 14:45:00 GMT+0530 (India Standard Time),1751.25,1755.8,1750.8,1754.4
Wed Jan 08 2025 14:50:00 GMT+0530 (India Standard Time),1754.5,1755.65,1752.85,1754.45
Wed Jan 08 2025 14:55:00 GMT+0530 (India Standard Time),1754.45,1763.45,1752.9,1760.85
Wed Jan 08 2025 15:00:00 GMT+0530 (India Standard Time),1760.05,1765.6,1760.05,1763.0
Wed Jan 08 2025 15:05:00 GMT+0530 (India Standard Time),1763.15,1767.5,1761.0,1765.0
Wed Jan 08 2025 15:10:00 GMT+0530 (India Standard Time),1765.0,1772.2,1764.9,1766.65
Wed Jan 08 2025 15:15:00 GMT+0530 (India Standard Time),1766.45,1766.65,1756.8,1758.4
Wed Jan 08 2025 15:20:00 GMT+0530 (India Standard Time),1758.4,1762.1,1757.7,1761.5
Wed Jan 08 2025 15:25:00 GMT+0530 (India Standard Time),1761.5,1761.9,1752.55,1759.95
Thu Jan 09 2025 09:15:00 GMT+0530 (India Standard Time),1755.1,1761.75,1725.0,1752.7
Thu Jan 09 2025 09:20:00 GMT+0530 (India Standard Time),1752.65,1752.95,1746.65,1746.9
Thu Jan 09 2025 09:25:00 GMT+0530 (India Standard Time),1746.7,1748.7,1742.5,1746.65
Thu Jan 09 2025 09:30:00 GMT+0530 (India Standard Time),1746.65,1746.65,1740.55,1743.9
Thu Jan 09 2025 09:35:00 GMT+0530 (India Standard Time),1745.45,1750.5,1742.9,1743.55
Thu Jan 09 2025 09:40:00 GMT+0530 (India Standard Time),1743.55,1745.3,1741.55,1741.7
Thu Jan 09 2025 09:45:00 GMT+0530 (India Standard Time),1741.7,1745.0,1736.35,1738.25
Thu Jan 09 2025 09:50:00 GMT+0530 (India Standard Time),1738.25,1741.6,1738.0,1739.4
Thu Jan 09 2025 09:55:00 GMT+0530 (India Standard Time),1739.4,1740.5,1736.6,1740.1
Thu Jan 09 2025 10:00:00 GMT+0530 (India Standard Time),1740.1,1741.8,1734.0,1736.5
Thu Jan 09 2025 10:05:00 GMT+0530 (India Standard Time),1736.5,1739.6,1733.0,1739.6
Thu Jan 09 2025 10:10:00 GMT+0530 (India Standard Time),1739.6,1748.65,1739.15,1748.05
Thu Jan 09 2025 10:15:00 GMT+0530 (India Standard Time),1748.05,1749.9,1745.05,1748.35
Thu Jan 09 2025 10:20:00 GMT+0530 (India Standard Time),1748.35,1753.3,1746.4,1751.45
Thu Jan 09 2025 10:25:00 GMT+0530 (India Standard Time),1751.45,1752.65,1748.1,1749.0
Thu Jan 09 2025 10:30:00 GMT+0530 (India Standard Time),1749.0,1751.7,1747.5,1751.6
Thu Jan 09 2025 10:35:00 GMT+0530 (India Standard Time),1751.6,1754.3,1750.25,1751.35
Thu Jan 09 2025 10:40:00 GMT+0530 (India Standard Time),1751.35,1752.7,1750.05,1750.95
Thu Jan 09 2025 10:45:00 GMT+0530 (India Standard Time),1750.95,1750.95,1740.1,1740.15
Thu Jan 09 2025 10:50:00 GMT+0530 (India Standard Time),1740.15,1745.95,1740.15,1742.75
